Year,S&P Composite,Dividend,Earnings,CPI,Long Interest Rate,Real Price,Real Dividend,Real Earnings,Cyclically Adjusted PE Ratio
2019-12-31,3223.38,,,257.139,1.91,3223.38,,,30.913600018788
2019-11-30,3104.9045,,,257.208,1.81,3104.0715616369,,,29.911394976718
2019-10-31,2977.68,,,257.346,1.71,2975.2848597608,,,28.840889471817
2019-09-30,2982.156,57.22,132.95,256.759,1.7,2986.5695523195,57.304684860122,133.1467642809,29.229400770211
2019-08-31,2897.4981818182,56.839091580593,133.72333333333,256.558,1.63,2904.0598421197,56.967809111164,134.02616254414,28.70535787622
2019-07-31,2996.1136363636,56.458183161185,134.49666666667,256.571,1.63,3002.746469168,56.583170973664,134.79441702297,29.986685335043
2019-06-30,2890.17,56.077274741778,135.27,256.143,2.06,2901.4082900177,56.295328585306,135.79599102845,29.283796275306
2019-05-31,2854.71,55.698183161185,134.97666666667,256.092,2.4,2866.3811235415,55.925898192384,135.52850182747,29.24203093694
2019-04-30,2903.8,55.319091580593,134.68333333333,255.548,2.53,2921.8785832799,55.663499185836,135.52184971121,30.133517171388
2019-03-31,2803.98,54.94,134.39,254.202,2.57,2836.3766344089,55.574765973517,135.94271567494,29.576196014785
2019-02-28,2754.86,54.543333333333,133.72333333333,252.776,2.68,2802.4098234801,55.484769875305,136.03144368927,29.541548965131
2019-01-31,2607.39,54.146666666667,133.05666666667,251.712,2.71,2663.606253218,55.314088005339,135.92541559401,28.380164463548
2018-12-31,2567.31,53.75,132.39,251.233,2.83,2627.662473043,55.013558131296,135.5022318326,28.291857012073
2018-11-30,2723.23,53.28,131.72333333333,252.038,3.12,2778.3454834985,54.358334536856,134.38928340171,30.195583406705
2018-10-31,2785.46,52.81,131.05666666667,252.885,3.15,2832.3166614864,53.698363248117,133.26128560413,31.037961078007
2018-09-30,2901.5,52.34,130.39,252.439,3.0,2955.5211694706,53.314484925071,132.81764786741,32.6228911205
2018-08-31,2857.82,51.89,127.75333333333,252.146,2.89,2914.4106072672,52.917526790034,130.28310732671,32.390276880301
2018-07-31,2793.64,51.44,125.11666666667,252.006,2.89,2850.5424313707,52.487758862884,127.66511333063,31.886366962159
2018-06-30,2754.35,50.99,122.48,251.989,2.91,2810.6417528146,52.032103028307,124.98317275754,31.630556496455
2018-05-31,2701.49,50.66,120.13333333333,251.588,2.976,2761.0952712768,51.777754662385,122.78393723071,31.243615074865
2018-04-30,2653.63,50.33,117.78666666667,250.546,2.87,2723.4590237721,51.654410248018,120.88616733055,30.970179293325
2018-03-31,2702.77,50.0,115.44,249.554,2.84,2784.9185948933,51.519711164718,118.9487091371,31.808409057643
2018-02-28,2705.16,49.643333333333,113.58666666667,248.991,2.86,2793.6838570069,51.267865465017,117.30368519344,32.03538233925
2018-01-31,2789.8,49.286666666667,111.73333333333,247.867,2.58,2894.1584890284,51.1303407876,115.91295977278,33.307343828031
2017-12-31,2664.34,48.93,109.88,246.524,2.4,2779.0629847804,51.036861603738,114.61128863721,32.086132007706
2017-11-30,2593.61,48.676666666667,108.94666666667,246.669,2.35,2703.6971884996,50.742774284568,113.57096724761,31.29891333388
2017-10-31,2557.0,48.423333333333,108.01333333333,246.663,2.36,2665.5980953771,50.47991595821,112.60075698423,30.920393290334
2017-09-30,2492.84,48.17,107.08,246.819,2.2,2597.0706661967,50.184084815188,111.55723068321,30.168114410679
2017-08-31,2456.22,47.853333333333,106.06,245.519,2.21,2572.4687481621,50.118150855942,111.07964084246,29.914959397498
2017-07-31,2454.1,47.536666666667,105.04,244.786,2.32,2577.9448984011,49.935580180239,110.34078975105,30.002220744019
2017-06-30,2433.99,47.22,104.02,244.955,2.19,2555.0560495193,49.568710906085,109.19392859913,29.748503240633
2017-05-31,2395.35,46.94,102.77666666667,244.733,2.3,2516.7750309521,49.319481475731,107.98661925445,29.313344980271
2017-04-30,2359.31,46.66,101.53333333333,244.524,2.3,2481.0268688963,49.067190705207,106.77144084016,28.904245956275
2017-03-31,2366.82,46.38,100.29,243.801,2.48,2496.3052980915,48.917382701466,105.77672080918,29.086921742465
2017-02-28,2329.91,46.153333333333,98.376666666667,243.603,2.42,2459.3733553774,48.717881060578,103.84304663736,28.655106525184
2017-01-31,2275.12,45.926666666667,96.463333333333,242.839,2.43,2409.0944275013,48.63113890273,102.14374573277,28.063573742124
2016-12-31,2246.63,45.7,94.55,241.432,2.49,2392.7904816677,48.673134878558,100.70120137347,27.865098223924
2016-11-30,2164.99,45.476666666667,92.73,241.353,2.14,2306.5939251221,48.451125902723,98.795123615617,26.850953531056
2016-10-31,2143.02,45.253333333333,90.91,241.729,1.76,2279.6355413707,48.138191445793,96.705428351584,26.525143085071
2016-09-30,2157.69,45.03,89.09,241.428,1.63,2298.1023282718,47.960340846961,94.887558651026,26.727873346479
2016-08-31,2170.95,44.84,88.366666666667,240.849,1.56,2317.7838066589,47.872786517694,94.343411432059,26.948872433724
2016-07-31,2148.9,44.65,87.643333333333,240.628,1.5,2296.3495399538,47.713717231577,93.657093480393,26.694003256096
2016-06-30,2083.89,44.46,86.92,241.018,1.64,2223.2754014638,47.433801375831,92.733828510734,25.840372927671
2016-05-31,2065.55,44.266666666667,86.76,240.229,1.81,2210.946477944,47.382649055693,92.867137772709,25.69470992345
2016-04-30,2075.54,44.073333333333,86.6,239.261,1.81,2230.6279755581,47.366569812882,93.070903323149,25.922337543674
2016-03-31,2021.95,43.88,86.44,238.132,1.89,2183.3361373104,47.382373305562,93.339388070482,25.372298620188
2016-02-29,1904.42,43.716666666667,86.47,237.111,1.78,2065.2802037021,47.409272239584,93.773841491959,24.00260677729
2016-01-31,1918.6,43.553333333333,86.5,236.916,2.09,2082.3704832092,47.271018335613,93.88358532138,24.206167203878
2015-12-31,2054.08,43.39,86.53,236.525,2.24,2233.1004211817,47.171593742733,94.071399091005,25.965424037124
2015-11-30,2080.62,43.096666666667,87.906666666667,237.336,2.26,2254.2241639701,46.692595181515,95.241481949641,26.225851890972
2015-10-31,2024.81,42.803333333333,89.283333333333,237.838,2.07,2189.1271310304,46.276904153247,96.52884337238,25.491441046067
2015-09-30,1944.41,42.51,90.66,237.945,2.17,2101.2571938473,45.939098909412,97.973152367144,24.496752170486
2015-08-31,2039.87,42.253333333333,92.076666666667,238.316,2.17,2200.9858000722,45.590643851021,99.349191787375,25.693658417058
2015-07-31,2094.14,41.996666666667,93.493333333333,238.654,2.32,2256.3420913121,45.249528061545,100.73488078976,26.3811363364
2015-06-30,2099.29,41.74,94.91,238.638,2.36,2262.0426391019,44.97599653031,102.26813202424,26.495895292785
2015-05-31,2111.94,41.43,96.356666666667,237.805,2.2,2283.6447495217,44.798338008032,104.19064742121,26.806111379651
2015-04-30,2094.86,41.12,97.803333333333,236.599,1.94,2276.722241176,44.689773329558,106.29398826707,26.791371680192
2015-03-31,2079.99,40.81,99.25,236.119,2.04,2265.1567582871,44.443024873051,108.08552361309,26.728605452928
2015-02-28,2082.2,40.353333333333,100.27,234.722,1.98,2281.0594055947,44.207257010421,109.84623311833,26.995513699383
2015-01-31,2028.18,39.896666666667,101.29,233.707,1.88,2231.5299799321,43.896797999204,111.44556778359,26.492295420383
2014-12-31,2054.27,39.44,102.31,234.812,2.21,2249.5993966663,43.190135768189,112.03810320597,26.794085482573
2014-11-30,2044.57,39.123333333333,103.52666666667,236.151,2.33,2226.2818502992,42.600432816291,112.72763418321,26.606817147143
2014-10-31,1937.27,38.806666666667,104.74333333333,237.433,2.3,2098.0557484848,42.027466527399,113.43661576108,25.162748283083
2014-09-30,1993.23,38.49,105.96,238.031,2.53,2153.2370530309,41.579794690608,114.46596636573,25.918436892606
2014-08-31,1961.53,38.12,105.01333333333,237.852,2.42,2120.5870149084,41.211083699107,113.52867968316,25.617606421799
2014-07-31,1973.1,37.75,104.06666666667,238.25,2.54,2129.5318400839,40.742905561385,112.31730786988,25.817545976159
2014-06-30,1947.09,37.38,103.12,238.343,2.6,2100.6397314375,40.327829304825,111.25216045783,25.558007623511
2014-05-31,1889.77,36.996666666667,102.36333333333,237.9,2.56,2042.5959143758,39.988591298865,110.64146771753,24.943274109903
2014-04-30,1864.26,36.613333333333,101.60666666667,237.072,2.71,2022.0606066511,39.712475197408,110.20718035027,24.786315396963
2014-03-31,1863.52,36.23,100.85,236.293,2.72,2027.9215604356,39.426246101239,109.74708582142,24.956039153965
2014-02-28,1817.04,35.816666666667,100.63333333333,234.781,2.71,1990.0752129005,39.227458141843,110.21656224311,24.590930877894
2014-01-31,1822.36,35.403333333333,100.41666666667,233.916,2.86,2003.2824947417,38.918148950905,110.38595585595,24.859609093633
2013-12-31,1807.78,34.99,100.2,233.049,2.9,1994.6480843943,38.606874991954,110.55755570717,24.861869296462
2013-11-30,1783.54,34.793333333333,98.256666666667,233.069,2.72,1967.7335555565,38.386584831102,108.40403919011,24.642077092412
2013-10-31,1720.03,34.596666666667,96.313333333333,233.546,2.62,1893.7887789558,38.091649054148,106.04298176805,23.834737887631
2013-09-30,1687.17,34.4,94.37,234.149,2.81,1852.8253660276,37.777575817108,103.63575086804,23.442287167961
2013-08-31,1670.09,34.023333333333,93.23,233.877,2.74,1836.2013900897,37.407380417912,102.50289241781,23.356649094916
2013-07-31,1668.68,33.646666666667,92.09,233.596,2.58,1836.8581076731,37.037749875854,101.37130134934,23.49246017716
2013-06-30,1618.77,33.27,90.95,233.504,2.3,1782.6199937903,36.637550234685,100.15585193401,22.925333173915
2013-05-31,1639.84,32.883333333333,89.866666666667,232.945,1.93,1810.1561216596,36.298643241967,99.200346862993,23.411841781842
2013-04-30,1570.7,32.496666666667,88.783333333333,232.531,1.76,1736.9220761963,35.935683285239,98.178984952544,22.595655396106
2013-03-31,1550.83,32.11,87.7,232.773,1.96,1713.1663696821,35.471181322576,96.88018069106,22.419207114603
2013-02-28,1512.31,31.823333333333,87.303333333333,232.166,1.98,1674.9820434086,35.246418984692,96.69414052876,22.052724336862
2013-01-31,1480.4,31.536666666667,86.906666666667,230.28,1.91,1653.0683324648,35.214985799896,97.043136008338,21.900475413822
2012-12-31,1422.29,31.25,86.51,229.601,1.72,1592.8773320238,34.998078187813,96.885879808886,21.238261139846
2012-11-30,1394.51,30.696666666667,86.506666666667,230.221,1.65,1557.5595053883,34.285795691966,96.621236811585,20.898162059574
2012-10-31,1437.82,30.143333333333,86.503333333333,231.317,1.75,1598.3243643139,33.508244487003,96.159731580472,21.577109654529
2012-09-30,1443.42,29.59,86.5,231.407,1.72,1603.9254446927,32.880349384418,96.118628649954,21.783690301728
2012-08-31,1403.45,29.166666666667,86.973333333333,230.379,1.68,1566.4697283607,32.55456226479,97.075844412902,21.410428453443
2012-07-31,1359.78,28.743333333333,87.446666666667,229.104,1.53,1526.173569296,32.260597763461,98.147341032893,20.999341293381
2012-06-30,1323.48,28.32,87.92,229.478,1.62,1483.0106751845,31.733658477065,98.517770243771,20.547504086856
2012-05-31,1341.27,27.996666666667,88.126666666667,229.815,1.8,1500.7411462698,31.325348084329,98.604542523334,20.941467419743
2012-04-30,1386.43,27.673333333333,88.333333333333,230.085,2.05,1549.4500891844,30.927236716866,98.719799204642,21.779246906825
2012-03-31,1389.24,27.35,88.54,229.392,2.17,1557.2809180791,30.658225439422,99.249699466416,22.053943972905
2012-02-29,1352.49,27.043333333333,88.01,227.663,1.97,1527.5996807123,30.544689694856,99.404836930024,21.797435963718
2012-01-31,1300.58,26.736666666667,87.48,226.665,1.97,1475.4366162398,30.331280656475,99.241257891602,21.213008091803
